,AVR,COSA2,BTORMC,THP,Z3,Eld,BvITP,NOTIGHT,SyGuSAPDR,AVR-2020,GspacerBV
goel/industry/gen19/gen19.chc,0.270048,0.565593,na,na,0.078625,na,na,0.093115,0.031862,1.14606,0.065187
goel/industry/gen23/gen23.chc,0.284899,8.131123,na,na,0.169693,na,na,0.121871,0.099052,0.512429,0.222681
goel/industry/gen25/gen25.chc,0.274555,1.08615,na,na,0.129953,na,0.195918,0.055926,0.066027,0.501532,5.255829
goel/industry/gen31/gen31.chc,0.976692,7.122996,na,na,0.258457,na,na,na,0.130339,1.728787,0.232784
goel/industry/gen32/gen32.chc,0.281705,1.06994,na,na,0.109857,na,na,0.098052,0.057346,1.381092,0.180499
goel/industry/gen33/gen33.chc,0.272212,3.091273,na,na,0.094303,na,na,6.574225,0.095869,1.313998,0.148801
goel/industry/gen43/gen43.chc,0.284499,1.089379,na,na,0.102391,22.937962,na,0.212915,0.214539,0.703436,0.120575
goel/industry/gen44/gen44.chc,0.275096,1.615472,na,na,0.111319,64.75556,na,0.366097,0.223913,1.042026,0.093734
goel/industry/mul1/mul1.chc,9.766222,na,na,na,na,42.35077,na,na,na,5.397022,na
goel/industry/mul10/mul10.chc,33.733081,na,na,na,na,na,na,na,na,15.317535,na
goel/industry/mul3/mul3.chc,9.599532,na,na,na,na,38.398027,na,na,na,1.538976,na
goel/industry/mul4/mul4.chc,0.277899,na,na,na,na,na,na,na,na,1.457016,na
goel/industry/mul9/mul9.chc,3.851107,na,na,na,na,na,na,na,na,5.022306,na
goel/opensource/h_b05/h_b05.chc,0.372472,0.572975,0.034004,0.207089,11.796239,na,na,18.717989,11.2474,3.430885,13.432932
goel/opensource/h_TreeArb/h_TreeArb.chc,5.054698,25.220029,na,na,14.66151,na,na,35.094522,35.094522,5.154453,46.645727
goel/opensource/Heap/Heap.chc,48.288896,5.101132,na,na,258.55403,na,na,194.354519,194.354519,56.796708,na
goel/opensource/usb_phy/usb_phy.chc,2.023396,1.099623,0.676995,1.910945,na,na,na,471.61452,471.61452,5.121624,na
goel/opensource/vcegar_arrays_itc99_b12_p2/vcegar_arrays_itc99_b12_p2.chc,na,na,na,na,na,na,na,na,na,na,0.115287
goel/opensource/vcegar_QF_BV_itc99_b13_p06/vcegar_QF_BV_itc99_b13_p06.chc,0.278346,0.570965,na,na,0.034166,na,0.046016,0.028142,0.028142,0.394329,0.059509
goel/opensource/vcegar_QF_BV_usb_phy_1/vcegar_QF_BV_usb_phy_1.chc,1.732932,1.105288,0.556119,1.932805,na,na,na,194.641693,194.641693,3.96188,na
goel/opensource/vis_arrays_am2910_p1/vis_arrays_am2910_p1.chc,0.382356,2.674784,na,na,na,na,1931.750313,0.03608,0.03608,1.289415,na
goel/opensource/vis_arrays_buf_bug/vis_arrays_buf_bug.chc,2.156031,1.608254,0.983131,3.054231,na,na,na,na,na,5.155375,na
goel/opensource/vis_arrays_bufferAlloc/vis_arrays_bufferAlloc.chc,na,na,na,na,na,na,na,na,na,na,na
goel/opensource/vis_arrays_field5/vis_arrays_field5.chc,1798.371975,na,na,na,na,na,na,na,na,na,na
goel/opensource/vis_arrays_two_p1/vis_arrays_two_p1.chc,9.088929,10.130323,10.670407,40.194132,na,na,na,na,na,8.774735,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d16_e0.chc,7.371451,6.153161,7.651852,31.992591,na,na,na,na,na,14.697006,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d32_e0.chc,621.86935,627.961836,432.613543,2423.740003,na,na,na,na,na,1028.666537,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w16_d16_e0.chc,5.197116,6.62864,3.899275,17.151367,na,na,na,na,na,9.452038,na
mann/data-integrity/unsafe/arbitrated_top_n2_w16_d32_e0.chc,564.291265,574.601342,467.370742,1454.013422,na,na,na,na,na,713.104931,na
mann/data-integrity/unsafe/arbitrated_top_n2_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w128_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w16_d16_e0.chc,6.453643,6.114358,7.604537,13.128045,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w16_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w32_d16_e0.chc,9.43926,8.136433,6.467105,17.382075,na,na,na,na,na,14.753971,na
mann/data-integrity/unsafe/arbitrated_top_n3_w32_d32_e0.chc,572.204561,454.82875,576.847391,1417.441219,na,na,na,na,na,909.391776,na
mann/data-integrity/unsafe/arbitrated_top_n3_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n4_w128_d16_e0.chc,13.170432,14.16675,11.536389,32.332714,na,na,na,na,na,21.699439,na
mann/data-integrity/unsafe/arbitrated_top_n4_w32_d16_e0.chc,10.099481,7.637815,7.717206,19.623776,na,na,na,na,na,22.332393,na
mann/data-integrity/unsafe/arbitrated_top_n4_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w128_d16_e0.chc,14.501595,13.659894,13.124617,51.33694,na,na,na,na,na,28.049488,na
mann/data-integrity/unsafe/arbitrated_top_n5_w128_d32_e0.chc,1155.490048,672.437291,583.828355,2375.800238,2109.025331,na,na,na,na,1569.651679,na
mann/data-integrity/unsafe/arbitrated_top_n5_w16_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w16_d32_e0.chc,750.004794,998.82461,579.311167,1486.050187,na,na,na,na,na,815.964063,na
mann/data-integrity/unsafe/arbitrated_top_n5_w32_d32_e0.chc,879.50377,581.629864,482.534932,1903.747796,na,na,na,na,na,927.601341,na
mann/data-integrity/unsafe/arbitrated_top_n5_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w64_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w8_d32_e0.chc,681.605473,764.698427,522.282146,1654.275512,na,na,na,na,na,1027.595201,na
mann/data-integrity/unsafe/circular_pointer_top_w128_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d16_e0.chc,12.54201,16.174567,8.528086,32.640412,na,na,na,na,na,23.052798,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d32_e0.chc,1332.37786,1207.87111,927.755338,2084.153507,na,na,na,na,na,1278.213021,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d16_e0.chc,21.858565,20.71265,20.251082,82.49907,na,na,na,na,na,36.871776,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d32_e0.chc,1010.99145,1445.893891,1184.72706,na,na,na,na,na,na,1468.955817,na
mann/data-integrity/unsafe/circular_pointer_top_w64_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d32_e0.chc,983.498296,838.656291,711.335093,1970.815939,na,na,na,na,na,1358.280501,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w128_d32_e0.chc,na,na,na,na,na,na,na,na,540.223841,3412.640362,na
mann/data-integrity/unsafe/shift_register_top_w128_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w32_d8_e0.chc,12.108996,7.629624,7.163466,22.378621,376.206508,na,na,na,5.422361,8.851232,316.174986
mann/data-integrity/unsafe/shift_register_top_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d16_e0.chc,155.904131,na,na,na,na,na,na,na,26.319745,160.514096,na
mann/data-integrity/unsafe/shift_register_top_w64_d32_e0.chc,na,na,na,na,na,na,na,na,338.82573,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d64_e0.chc,na,na,na,na,na,na,na,na,3297.680302,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d8_e0.chc,15.720869,40.315116,37.097265,42.197007,688.747466,na,na,na,7.144808,8.115275,420.209651
mann/data-integrity/unsafe/shift_register_top_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w8_d32_e0.chc,3298.435345,na,na,na,na,na,na,na,216.102703,2248.785024,na
mann/data-integrity/unsafe/shift_register_top_w8_d64_e0.chc,na,na,na,na,na,na,na,na,2554.825996,na,na
mann/safe/analog_estimation_convergence.chc,na,4.609791,4.23839,na,0.29254,na,na,2193.438738,2193.438738,4.070934,0.12073
mann/unknown/ridecore.chc,na,na,na,na,na,na,na,na,na,na,na
mann/unsafe/intersymbol_analog_estimation_convergence.chc,46.982855,29.775912,22.771272,60.436436,na,na,na,na,na,56.097116,na
wolf/2018A/zipcpu-busdelay-p02.chc,249.002047,na,na,na,na,na,na,na,na,421.819301,na
wolf/2018A/zipcpu-busdelay-p18.chc,0.929687,73.54351,9.606225,na,2.413371,na,133.534445,196.83886,32.629945,2.243182,0.946562
wolf/2018A/zipcpu-busdelay-p24.chc,na,na,na,na,na,na,na,na,na,1016.818823,na
wolf/2018A/zipcpu-busdelay-p30.chc,332.736076,na,na,na,na,na,na,na,na,441.138185,na
wolf/2018A/zipcpu-busdelay-p36.chc,351.925608,na,na,na,na,na,na,na,na,555.487082,na
wolf/2018A/zipcpu-busdelay-p43.chc,0.489103,1.605594,9.067762,na,2.522924,na,na,12.813855,1.757278,0.558977,1.870726
wolf/2018A/zipcpu-busdelay-p46.chc,198.630104,na,na,na,na,na,na,na,na,719.56036,na
wolf/2018A/zipcpu-busdelay-p47.chc,9.844901,610.905531,244.341713,na,73.659846,na,na,na,na,12.075734,57.651319
wolf/2018D/picorv32-check-p01.chc,0.372445,na,na,na,na,na,257.937937,10.676718,1.781469,0.542368,23.964382
wolf/2018D/picorv32-check-p06.chc,1.131008,na,na,na,na,na,322.658456,18.234346,5.583426,1.945039,37.645045
wolf/2018D/picorv32-check-p09.chc,0.293625,443.26803,na,na,na,na,122.277324,0.584008,0.452963,0.405255,10.366129
wolf/2018D/picorv32-check-p12.chc,0.934356,na,na,na,na,na,446.11316,15.255782,8.544339,1.490226,51.984087
wolf/2018D/picorv32-check-p17.chc,0.272734,232.010192,na,na,2.095962,na,6.832543,0.50273,0.308422,0.468512,1.791465
wolf/2018D/picorv32-check-p18.chc,0.469075,na,na,na,na,na,143.884609,5.071739,3.614021,1.773888,6.707893
wolf/2018D/picorv32-check-p22.chc,0.937945,na,na,na,na,na,920.02235,11.791147,9.563411,1.641602,23.794571
wolf/2018D/picorv32-pcregs-p2.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2018D/ponylink-slaveTXlen-sat.chc,774.435485,289.327477,296.06641,308.666146,na,na,na,na,0.329415,na,na
wolf/2018D/VexRiscv-regch0-20-p0.chc,na,62.956709,138.921414,na,na,na,na,na,na,285.734558,na
wolf/2018D/VexRiscv-regch0-20-p1.chc,na,563.536192,415.169354,na,na,na,na,na,na,627.932265,148.796344
wolf/2018D/VexRiscv-regch0-30-p1.chc,na,2097.879947,764.950138,na,na,na,na,na,na,1298.428123,na
wolf/2018D/zipcpu-busdelay-p20.chc,3.319106,302.983108,39.033337,na,19.400419,na,na,1064.646347,591.393545,7.922351,47.483688
wolf/2018D/zipcpu-busdelay-p24.chc,na,na,na,na,na,na,na,na,na,1076.480476,na
wolf/2018D/zipcpu-busdelay-p30.chc,387.13192,na,na,na,na,na,na,na,na,908.375768,na
wolf/2018D/zipcpu-busdelay-p36.chc,283.882058,na,na,na,na,na,na,na,na,498.272549,na
wolf/2018D/zipcpu-busdelay-p42.chc,45.495597,1.600485,0.313573,na,211.902012,na,na,1394.774789,1394.774789,3.140727,118.560933
wolf/2018D/zipcpu-busdelay-p43.chc,0.37509,1.09632,10.143775,na,2.510974,na,2422.396035,34.636569,2.285565,2.115396,1.615268
wolf/2018D/zipcpu-busdelay-p45.chc,24.305492,2719.327245,1102.975371,na,124.990734,na,na,3190.613226,3190.613226,34.506686,43.182785
wolf/2018D/zipcpu-busdelay-p46.chc,194.05517,na,na,na,na,na,na,na,na,723.836931,na
wolf/2018D/zipcpu-busdelay-p47.chc,14.818438,688.104852,241.02519,na,71.068097,na,na,na,na,21.216882,68.754536
wolf/2018D/zipcpu-pfcache-p05.chc,6.902659,64.497174,43.883619,na,na,na,na,na,395.68814,7.955259,na
wolf/2018D/zipcpu-pfcache-p13.chc,22.446855,0.581299,0.354564,na,na,na,na,346.823304,29.228088,3.413305,na
wolf/2018D/zipcpu-pfcache-p15.chc,5.142051,0.574955,0.234537,na,405.886061,na,2592.614022,60.534313,15.930742,3.37119,148.427171
wolf/2018D/zipcpu-pfcache-p16.chc,6.620637,1714.441133,1054.356599,na,na,na,na,na,159.603833,7.759833,na
wolf/2018D/zipcpu-pfcache-p19.chc,6.421147,53.395401,42.72457,na,na,na,na,380.428154,91.278116,8.384818,2471.176556
wolf/2018D/zipcpu-pfcache-p20.chc,4.233105,0.594656,0.089985,na,92.079114,na,579.825915,49.741219,13.913031,3.473358,102.579168
wolf/2018D/zipcpu-pfcache-p25.chc,3.826397,1.070782,0.883647,na,1203.435345,na,na,na,111.798807,3.933303,548.644032
wolf/2018D/zipcpu-zipmmu-p00.chc,140.814307,na,na,na,na,na,na,na,920.175871,149.935776,na
wolf/2018D/zipcpu-zipmmu-p10.chc,120.748373,na,na,na,na,na,na,na,na,233.554592,na
